county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
San Diego,2021-02-11,857.0,37.0,894.0,6481.0,282.0,6.0,170.0
Santa Cruz,2021-02-11,39.0,0.0,39.0,372.0,12.0,0.0,0.0
Santa Clara,2021-02-11,328.0,23.0,351.0,3080.0,93.0,2.0,48.0
Kern,2021-02-11,255.0,8.0,263.0,1164.0,55.0,0.0,30.0
Ventura,2021-02-11,262.0,10.0,272.0,1185.0,56.0,2.0,32.0
Alameda,2021-02-11,230.0,40.0,270.0,2517.0,75.0,6.0,67.0
Del Norte,2021-02-11,1.0,0.0,1.0,51.0,1.0,0.0,1.0
Stanislaus,2021-02-11,197.0,11.0,208.0,1299.0,41.0,3.0,13.0
Plumas,2021-02-11,1.0,0.0,1.0,35.0,0.0,0.0,0.0
Placer,2021-02-11,76.0,8.0,84.0,782.0,18.0,1.0,9.0
Madera,2021-02-11,42.0,7.0,49.0,281.0,12.0,1.0,2.0
Napa,2021-02-11,12.0,0.0,12.0,221.0,1.0,0.0,2.0
Riverside,2021-02-11,660.0,64.0,724.0,3307.0,185.0,9.0,34.0
Humboldt,2021-02-11,11.0,3.0,14.0,275.0,4.0,1.0,5.0
Calaveras,2021-02-11,4.0,0.0,4.0,33.0,1.0,0.0,6.0
Sutter,2021-02-11,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Yolo,2021-02-11,13.0,0.0,13.0,129.0,4.0,0.0,0.0
Colusa,2021-02-11,4.0,0.0,4.0,48.0,0.0,0.0,5.0
Merced,2021-02-12,37.0,0.0,37.0,271.0,17.0,0.0,2.0
Kern,2021-02-12,240.0,3.0,243.0,1227.0,57.0,0.0,30.0
Del Norte,2021-02-12,2.0,0.0,2.0,51.0,1.0,0.0,2.0
San Bernardino,2021-02-12,626.0,43.0,669.0,3606.0,167.0,5.0,86.0
Sutter,2021-02-12,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Imperial,2021-02-12,32.0,1.0,33.0,234.0,20.0,1.0,1.0
Yolo,2021-02-12,12.0,0.0,12.0,131.0,5.0,0.0,2.0
Yuba,2021-02-12,32.0,2.0,34.0,261.0,10.0,0.0,1.0
Modoc,2021-02-12,1.0,0.0,1.0,12.0,0.0,0.0,0.0
Orange,2021-02-12,839.0,30.0,869.0,5856.0,270.0,4.0,120.0
Siskiyou,2021-02-12,2.0,0.0,2.0,56.0,1.0,0.0,3.0
San Benito,2021-02-12,16.0,0.0,16.0,25.0,4.0,0.0,0.0
Amador,2021-02-12,4.0,0.0,4.0,52.0,4.0,0.0,0.0
Nevada,2021-02-12,9.0,0.0,9.0,125.0,1.0,0.0,3.0
San Luis Obispo,2021-02-12,28.0,0.0,28.0,460.0,6.0,0.0,22.0
Stanislaus,2021-02-12,196.0,14.0,210.0,1303.0,41.0,2.0,7.0
Trinity,2021-02-12,0.0,0.0,0.0,25.0,0.0,0.0,0.0
El Dorado,2021-02-12,4.0,0.0,4.0,190.0,1.0,0.0,6.0
Tulare,2021-02-12,109.0,7.0,116.0,668.0,13.0,1.0,15.0
Placer,2021-02-12,81.0,9.0,90.0,779.0,16.0,1.0,9.0
Fresno,2021-02-12,319.0,30.0,349.0,1550.0,84.0,0.0,14.0
Napa,2021-02-12,11.0,0.0,11.0,220.0,2.0,0.0,3.0
San Mateo,2021-02-12,88.0,11.0,99.0,726.0,20.0,4.0,16.0
Mono,2021-02-12,2.0,0.0,2.0,17.0,0.0,0.0,2.0
Madera,2021-02-12,41.0,4.0,45.0,281.0,12.0,0.0,1.0
Los Angeles,2021-02-12,3270.0,196.0,3466.0,19282.0,990.0,25.0,333.0
Colusa,2021-02-12,5.0,0.0,5.0,48.0,0.0,0.0,5.0
Mendocino,2021-02-12,8.0,0.0,8.0,84.0,4.0,0.0,4.0
Kings,2021-02-12,64.0,1.0,65.0,133.0,7.0,0.0,4.0
Alameda,2021-02-12,219.0,39.0,258.0,2515.0,72.0,6.0,83.0
Contra Costa,2021-02-12,99.0,12.0,111.0,1325.0,33.0,0.0,50.0
Monterey,2021-02-12,92.0,0.0,92.0,720.0,10.0,0.0,16.0
Mariposa,2021-02-12,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Plumas,2021-02-12,1.0,0.0,1.0,35.0,0.0,0.0,0.0
Santa Cruz,2021-02-12,30.0,0.0,30.0,372.0,10.0,0.0,0.0
Santa Clara,2021-02-12,314.0,20.0,334.0,3069.0,87.0,6.0,53.0
San Diego,2021-02-12,850.0,40.0,890.0,6461.0,281.0,11.0,178.0
Inyo,2021-02-12,3.0,1.0,4.0,29.0,1.0,0.0,1.0
Ventura,2021-02-12,242.0,9.0,251.0,1193.0,52.0,1.0,31.0
Sacramento,2021-02-12,222.0,19.0,241.0,2595.0,69.0,3.0,79.0
Shasta,2021-02-12,17.0,0.0,17.0,567.0,3.0,0.0,19.0
San Francisco,2021-02-12,118.0,2.0,120.0,2125.0,34.0,0.0,77.0
Tehama,2021-02-12,9.0,0.0,9.0,59.0,2.0,0.0,1.0
Lassen,2021-02-12,1.0,0.0,1.0,25.0,0.0,0.0,0.0
Santa Barbara,2021-02-12,129.0,5.0,134.0,603.0,28.0,0.0,32.0
Sonoma,2021-02-12,50.0,1.0,51.0,658.0,18.0,0.0,21.0
San Joaquin,2021-02-12,158.0,8.0,166.0,895.0,52.0,1.0,10.0
Calaveras,2021-02-12,4.0,0.0,4.0,33.0,1.0,0.0,6.0
Riverside,2021-02-12,626.0,58.0,684.0,3294.0,184.0,5.0,33.0
Glenn,2021-02-12,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Marin,2021-02-12,20.0,3.0,23.0,321.0,7.0,0.0,15.0
Humboldt,2021-02-12,11.0,3.0,14.0,269.0,4.0,0.0,10.0
Solano,2021-02-12,93.0,13.0,106.0,612.0,25.0,1.0,11.0
Lake,2021-02-12,6.0,0.0,6.0,62.0,1.0,0.0,2.0
Tuolumne,2021-02-12,4.0,0.0,4.0,84.0,0.0,0.0,2.0
Butte,2021-02-12,18.0,0.0,18.0,451.0,4.0,0.0,16.0
San Benito,2021-02-13,15.0,0.0,15.0,25.0,4.0,0.0,0.0
Yolo,2021-02-13,11.0,0.0,11.0,130.0,6.0,0.0,1.0
Calaveras,2021-02-13,4.0,0.0,4.0,33.0,1.0,0.0,4.0
Glenn,2021-02-13,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Sacramento,2021-02-13,227.0,18.0,245.0,2584.0,67.0,3.0,82.0
Stanislaus,2021-02-13,185.0,16.0,201.0,1305.0,38.0,1.0,13.0
Butte,2021-02-13,15.0,0.0,15.0,451.0,0.0,1.0,18.0
Colusa,2021-02-13,5.0,0.0,5.0,48.0,0.0,0.0,5.0
Sutter,2021-02-13,0.0,0.0,0.0,14.0,0.0,0.0,0.0
San Joaquin,2021-02-13,168.0,11.0,179.0,908.0,55.0,1.0,7.0
San Bernardino,2021-02-13,572.0,69.0,641.0,3579.0,153.0,5.0,80.0
Del Norte,2021-02-13,2.0,0.0,2.0,51.0,0.0,0.0,1.0
Placer,2021-02-13,77.0,15.0,92.0,780.0,17.0,3.0,11.0
Modoc,2021-02-13,2.0,0.0,2.0,12.0,0.0,0.0,0.0
Imperial,2021-02-13,31.0,2.0,33.0,234.0,18.0,1.0,-3.0
Santa Cruz,2021-02-13,28.0,1.0,29.0,372.0,8.0,0.0,2.0
Tuolumne,2021-02-13,3.0,0.0,3.0,84.0,0.0,0.0,3.0
Orange,2021-02-13,790.0,26.0,816.0,5878.0,257.0,7.0,112.0
Napa,2021-02-13,12.0,1.0,13.0,212.0,2.0,1.0,2.0
Tulare,2021-02-13,104.0,6.0,110.0,647.0,13.0,2.0,17.0
Marin,2021-02-13,18.0,5.0,23.0,325.0,6.0,3.0,14.0
Merced,2021-02-13,40.0,0.0,40.0,271.0,15.0,0.0,2.0
Mono,2021-02-13,1.0,0.0,1.0,17.0,0.0,0.0,2.0
Contra Costa,2021-02-13,97.0,18.0,115.0,1339.0,35.0,2.0,42.0
Humboldt,2021-02-13,12.0,7.0,19.0,268.0,4.0,1.0,7.0
Shasta,2021-02-13,16.0,0.0,16.0,567.0,2.0,0.0,22.0
Madera,2021-02-13,41.0,6.0,47.0,281.0,14.0,0.0,2.0
Alameda,2021-02-13,213.0,38.0,251.0,2522.0,70.0,4.0,73.0
Santa Clara,2021-02-13,302.0,20.0,322.0,3076.0,81.0,4.0,54.0
Monterey,2021-02-13,83.0,0.0,83.0,720.0,10.0,0.0,16.0
Inyo,2021-02-13,2.0,1.0,3.0,29.0,0.0,0.0,2.0
Siskiyou,2021-02-13,2.0,0.0,2.0,56.0,1.0,0.0,2.0
Lake,2021-02-13,7.0,0.0,7.0,62.0,1.0,0.0,0.0
Los Angeles,2021-02-13,3092.0,201.0,3293.0,19286.0,930.0,33.0,379.0
Kern,2021-02-13,229.0,3.0,232.0,1180.0,51.0,0.0,31.0
Trinity,2021-02-13,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Mendocino,2021-02-13,12.0,0.0,12.0,83.0,6.0,0.0,2.0
Fresno,2021-02-13,317.0,24.0,341.0,1518.0,87.0,4.0,15.0
Santa Barbara,2021-02-13,122.0,7.0,129.0,603.0,25.0,2.0,31.0
Sonoma,2021-02-13,47.0,1.0,48.0,633.0,17.0,1.0,24.0
Ventura,2021-02-13,232.0,11.0,243.0,1192.0,52.0,2.0,36.0
San Mateo,2021-02-13,86.0,12.0,98.0,723.0,22.0,3.0,15.0
Nevada,2021-02-13,7.0,0.0,7.0,126.0,0.0,0.0,3.0
Tehama,2021-02-13,6.0,0.0,6.0,59.0,1.0,0.0,0.0
El Dorado,2021-02-13,4.0,0.0,4.0,190.0,1.0,0.0,5.0
San Luis Obispo,2021-02-13,28.0,2.0,30.0,460.0,6.0,0.0,17.0
Lassen,2021-02-13,2.0,0.0,2.0,25.0,0.0,0.0,0.0
Riverside,2021-02-13,586.0,65.0,651.0,3276.0,186.0,6.0,28.0
San Diego,2021-02-13,824.0,38.0,862.0,6466.0,288.0,10.0,161.0
San Francisco,2021-02-13,124.0,5.0,129.0,2125.0,35.0,1.0,71.0
Yuba,2021-02-13,35.0,0.0,35.0,261.0,10.0,0.0,1.0
Amador,2021-02-13,5.0,0.0,5.0,52.0,3.0,0.0,0.0
Kings,2021-02-13,61.0,0.0,61.0,135.0,10.0,0.0,4.0
Solano,2021-02-13,91.0,11.0,102.0,614.0,24.0,0.0,12.0
Mariposa,2021-02-13,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Plumas,2021-02-13,1.0,0.0,1.0,35.0,0.0,0.0,0.0
Monterey,2021-02-14,79.0,0.0,79.0,720.0,10.0,0.0,19.0
Modoc,2021-02-14,2.0,0.0,2.0,12.0,0.0,0.0,0.0
San Mateo,2021-02-14,81.0,10.0,91.0,733.0,25.0,4.0,15.0
Mendocino,2021-02-14,13.0,0.0,13.0,80.0,5.0,0.0,3.0
San Benito,2021-02-14,13.0,0.0,13.0,25.0,4.0,0.0,0.0
Tuolumne,2021-02-14,4.0,0.0,4.0,84.0,1.0,0.0,2.0
Kings,2021-02-14,60.0,0.0,60.0,135.0,10.0,0.0,4.0
Madera,2021-02-14,42.0,7.0,49.0,277.0,13.0,0.0,0.0
Calaveras,2021-02-14,2.0,0.0,2.0,33.0,1.0,0.0,5.0
Humboldt,2021-02-14,13.0,2.0,15.0,268.0,4.0,1.0,7.0
San Diego,2021-02-14,806.0,36.0,842.0,6466.0,277.0,6.0,181.0
Inyo,2021-02-14,0.0,0.0,0.0,29.0,0.0,0.0,2.0
Placer,2021-02-14,78.0,10.0,88.0,770.0,19.0,2.0,12.0
Fresno,2021-02-14,308.0,16.0,324.0,1509.0,84.0,3.0,17.0
Stanislaus,2021-02-14,178.0,17.0,195.0,1303.0,36.0,1.0,8.0
Santa Cruz,2021-02-14,30.0,0.0,30.0,372.0,7.0,0.0,5.0
Riverside,2021-02-14,576.0,56.0,632.0,3247.0,181.0,6.0,38.0
Amador,2021-02-14,7.0,0.0,7.0,52.0,1.0,0.0,0.0
Imperial,2021-02-14,29.0,1.0,30.0,234.0,17.0,0.0,0.0
Trinity,2021-02-14,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Shasta,2021-02-14,16.0,0.0,16.0,567.0,2.0,0.0,23.0
Merced,2021-02-14,33.0,0.0,33.0,271.0,13.0,0.0,2.0
San Francisco,2021-02-14,118.0,3.0,121.0,2098.0,38.0,0.0,88.0
Lassen,2021-02-14,2.0,0.0,2.0,25.0,0.0,0.0,0.0
Kern,2021-02-14,221.0,7.0,228.0,897.0,52.0,0.0,26.0
Sacramento,2021-02-14,223.0,25.0,248.0,2462.0,59.0,4.0,87.0
Tehama,2021-02-14,6.0,0.0,6.0,59.0,1.0,0.0,1.0
Ventura,2021-02-14,221.0,12.0,233.0,1177.0,50.0,4.0,43.0
San Bernardino,2021-02-14,576.0,42.0,618.0,3619.0,145.0,6.0,90.0
Santa Clara,2021-02-14,293.0,24.0,317.0,3075.0,89.0,4.0,64.0
Lake,2021-02-14,4.0,0.0,4.0,62.0,1.0,0.0,1.0
Mono,2021-02-14,1.0,0.0,1.0,17.0,0.0,0.0,2.0
Sonoma,2021-02-14,48.0,1.0,49.0,627.0,20.0,0.0,26.0
San Luis Obispo,2021-02-14,30.0,0.0,30.0,460.0,8.0,0.0,21.0
Napa,2021-02-14,11.0,0.0,11.0,205.0,1.0,0.0,4.0
Glenn,2021-02-14,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Nevada,2021-02-14,6.0,0.0,6.0,126.0,0.0,0.0,6.0
Plumas,2021-02-14,2.0,0.0,2.0,35.0,0.0,0.0,0.0
El Dorado,2021-02-14,6.0,0.0,6.0,190.0,2.0,0.0,6.0
Del Norte,2021-02-14,2.0,0.0,2.0,51.0,0.0,0.0,1.0
Siskiyou,2021-02-14,3.0,0.0,3.0,56.0,1.0,0.0,2.0
Marin,2021-02-14,17.0,3.0,20.0,324.0,7.0,0.0,15.0
Los Angeles,2021-02-14,2964.0,200.0,3164.0,19158.0,908.0,40.0,360.0
Butte,2021-02-14,14.0,2.0,16.0,451.0,0.0,1.0,16.0
San Joaquin,2021-02-14,159.0,11.0,170.0,898.0,56.0,1.0,5.0
Orange,2021-02-14,777.0,32.0,809.0,5829.0,242.0,4.0,127.0
Solano,2021-02-14,92.0,14.0,106.0,608.0,22.0,1.0,13.0
Contra Costa,2021-02-14,99.0,17.0,116.0,1325.0,34.0,3.0,40.0
Sutter,2021-02-14,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Colusa,2021-02-14,5.0,0.0,5.0,48.0,0.0,0.0,5.0
Santa Barbara,2021-02-14,119.0,4.0,123.0,603.0,25.0,0.0,33.0
Yolo,2021-02-14,10.0,0.0,10.0,129.0,5.0,0.0,0.0
Tulare,2021-02-14,97.0,5.0,102.0,642.0,10.0,2.0,21.0
Alameda,2021-02-14,201.0,49.0,250.0,2494.0,67.0,5.0,81.0
Yuba,2021-02-14,30.0,0.0,30.0,261.0,9.0,0.0,3.0
Mariposa,2021-02-14,0.0,0.0,0.0,14.0,0.0,0.0,0.0
San Benito,2021-02-15,10.0,0.0,10.0,25.0,4.0,0.0,0.0
Kings,2021-02-15,60.0,0.0,60.0,135.0,11.0,0.0,4.0
Alameda,2021-02-15,207.0,38.0,245.0,2495.0,64.0,3.0,84.0
Glenn,2021-02-15,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Mariposa,2021-02-15,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Sonoma,2021-02-15,50.0,1.0,51.0,624.0,20.0,0.0,22.0
Trinity,2021-02-15,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Riverside,2021-02-15,567.0,51.0,618.0,3210.0,178.0,5.0,39.0
Sutter,2021-02-15,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Amador,2021-02-15,7.0,0.0,7.0,52.0,1.0,0.0,2.0
Sacramento,2021-02-15,227.0,27.0,254.0,2578.0,62.0,5.0,107.0
Tulare,2021-02-15,95.0,7.0,102.0,642.0,11.0,1.0,16.0
Merced,2021-02-15,34.0,0.0,34.0,271.0,12.0,0.0,2.0
Stanislaus,2021-02-15,177.0,11.0,188.0,1293.0,35.0,2.0,16.0
San Joaquin,2021-02-15,146.0,8.0,154.0,900.0,56.0,2.0,7.0
San Diego,2021-02-15,782.0,37.0,819.0,6454.0,259.0,10.0,192.0
Orange,2021-02-15,748.0,21.0,769.0,5792.0,235.0,9.0,136.0
Santa Clara,2021-02-15,271.0,41.0,312.0,3062.0,93.0,6.0,69.0
Siskiyou,2021-02-15,3.0,0.0,3.0,56.0,1.0,0.0,3.0
Contra Costa,2021-02-15,104.0,28.0,132.0,1321.0,31.0,3.0,43.0
San Francisco,2021-02-15,114.0,5.0,119.0,2105.0,36.0,0.0,94.0
Santa Barbara,2021-02-15,106.0,3.0,109.0,603.0,21.0,1.0,34.0
Colusa,2021-02-15,5.0,0.0,5.0,48.0,0.0,0.0,5.0
Humboldt,2021-02-15,15.0,4.0,19.0,268.0,4.0,1.0,6.0
Solano,2021-02-15,85.0,13.0,98.0,585.0,21.0,2.0,14.0
Los Angeles,2021-02-15,2855.0,189.0,3044.0,19163.0,876.0,43.0,382.0
Yolo,2021-02-15,10.0,0.0,10.0,146.0,4.0,0.0,2.0
Tehama,2021-02-15,3.0,0.0,3.0,59.0,0.0,0.0,3.0
Tuolumne,2021-02-15,2.0,0.0,2.0,84.0,0.0,0.0,2.0
Madera,2021-02-15,46.0,9.0,55.0,275.0,13.0,0.0,3.0
Del Norte,2021-02-15,2.0,0.0,2.0,51.0,0.0,0.0,2.0
Placer,2021-02-15,77.0,17.0,94.0,768.0,21.0,0.0,9.0
Shasta,2021-02-15,14.0,0.0,14.0,567.0,2.0,0.0,24.0
Nevada,2021-02-15,4.0,0.0,4.0,125.0,0.0,0.0,5.0
Modoc,2021-02-15,2.0,0.0,2.0,12.0,0.0,0.0,0.0
Santa Cruz,2021-02-15,28.0,0.0,28.0,372.0,8.0,0.0,1.0
San Bernardino,2021-02-15,575.0,54.0,629.0,3500.0,140.0,16.0,92.0
Mendocino,2021-02-15,11.0,0.0,11.0,81.0,4.0,0.0,5.0
El Dorado,2021-02-15,3.0,0.0,3.0,190.0,3.0,0.0,8.0
Kern,2021-02-15,228.0,9.0,237.0,1159.0,53.0,0.0,34.0
Lassen,2021-02-15,1.0,0.0,1.0,25.0,0.0,0.0,0.0
Marin,2021-02-15,17.0,4.0,21.0,331.0,5.0,0.0,15.0
San Mateo,2021-02-15,80.0,7.0,87.0,728.0,24.0,1.0,18.0
Ventura,2021-02-15,216.0,10.0,226.0,1160.0,48.0,4.0,40.0
San Luis Obispo,2021-02-15,27.0,0.0,27.0,460.0,7.0,0.0,22.0
Fresno,2021-02-15,309.0,19.0,328.0,1513.0,85.0,2.0,17.0
Plumas,2021-02-15,2.0,0.0,2.0,35.0,0.0,0.0,0.0
Inyo,2021-02-15,0.0,0.0,0.0,29.0,0.0,0.0,2.0
Napa,2021-02-15,9.0,0.0,9.0,220.0,2.0,0.0,13.0
Monterey,2021-02-15,72.0,0.0,72.0,720.0,9.0,0.0,16.0
Imperial,2021-02-15,28.0,1.0,29.0,234.0,16.0,0.0,0.0
Yuba,2021-02-15,29.0,0.0,29.0,261.0,9.0,0.0,1.0
Mono,2021-02-15,1.0,0.0,1.0,17.0,0.0,0.0,2.0
Butte,2021-02-15,11.0,2.0,13.0,451.0,1.0,1.0,10.0
Calaveras,2021-02-15,1.0,0.0,1.0,33.0,1.0,0.0,6.0
Lake,2021-02-15,3.0,0.0,3.0,62.0,1.0,0.0,0.0
Sacramento,2021-02-16,212.0,17.0,229.0,2578.0,61.0,4.0,103.0
Del Norte,2021-02-16,2.0,0.0,2.0,52.0,0.0,0.0,1.0
San Luis Obispo,2021-02-16,28.0,0.0,28.0,460.0,6.0,0.0,23.0
Lake,2021-02-16,1.0,0.0,1.0,62.0,0.0,0.0,2.0
San Diego,2021-02-16,782.0,39.0,821.0,6472.0,249.0,6.0,217.0
Monterey,2021-02-16,72.0,0.0,72.0,720.0,9.0,0.0,19.0
Yuba,2021-02-16,29.0,0.0,29.0,261.0,9.0,0.0,1.0
Sutter,2021-02-16,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Contra Costa,2021-02-16,98.0,25.0,123.0,1314.0,32.0,2.0,45.0
Tulare,2021-02-16,95.0,9.0,104.0,662.0,13.0,1.0,16.0
Imperial,2021-02-16,27.0,1.0,28.0,234.0,16.0,0.0,4.0
Santa Clara,2021-02-16,267.0,27.0,294.0,3038.0,88.0,4.0,66.0
Merced,2021-02-16,33.0,0.0,33.0,271.0,12.0,0.0,2.0
Modoc,2021-02-16,2.0,1.0,3.0,12.0,0.0,0.0,0.0
Riverside,2021-02-16,553.0,60.0,613.0,3228.0,177.0,11.0,40.0
Kern,2021-02-16,226.0,9.0,235.0,1164.0,48.0,0.0,29.0
San Bernardino,2021-02-16,557.0,55.0,612.0,3542.0,147.0,8.0,74.0
Siskiyou,2021-02-16,1.0,0.0,1.0,56.0,1.0,0.0,1.0
Stanislaus,2021-02-16,172.0,12.0,184.0,1304.0,34.0,2.0,22.0
Placer,2021-02-16,67.0,12.0,79.0,769.0,17.0,1.0,14.0
Sonoma,2021-02-16,45.0,1.0,46.0,621.0,18.0,0.0,22.0
Butte,2021-02-16,12.0,1.0,13.0,451.0,2.0,0.0,10.0
Shasta,2021-02-16,12.0,0.0,12.0,567.0,2.0,0.0,23.0
San Joaquin,2021-02-16,144.0,14.0,158.0,899.0,58.0,4.0,6.0
Kings,2021-02-16,56.0,0.0,56.0,133.0,11.0,0.0,3.0
Humboldt,2021-02-16,13.0,5.0,18.0,268.0,2.0,0.0,4.0
Trinity,2021-02-16,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Marin,2021-02-16,14.0,3.0,17.0,325.0,5.0,0.0,15.0
Glenn,2021-02-16,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Mono,2021-02-16,1.0,0.0,1.0,17.0,0.0,0.0,2.0
Yolo,2021-02-16,11.0,0.0,11.0,125.0,6.0,0.0,1.0
Mendocino,2021-02-16,11.0,0.0,11.0,85.0,4.0,0.0,3.0
Tuolumne,2021-02-16,2.0,0.0,2.0,84.0,0.0,0.0,2.0
San Mateo,2021-02-16,82.0,7.0,89.0,726.0,22.0,1.0,24.0
San Francisco,2021-02-16,118.0,7.0,125.0,2112.0,37.0,1.0,98.0
Nevada,2021-02-16,5.0,0.0,5.0,116.0,0.0,0.0,7.0
Colusa,2021-02-16,3.0,0.0,3.0,48.0,0.0,0.0,5.0
El Dorado,2021-02-16,5.0,0.0,5.0,190.0,3.0,0.0,8.0
Solano,2021-02-16,82.0,13.0,95.0,578.0,22.0,2.0,16.0
Los Angeles,2021-02-16,2757.0,223.0,2980.0,19197.0,859.0,37.0,391.0
Madera,2021-02-16,39.0,4.0,43.0,277.0,13.0,0.0,0.0
Tehama,2021-02-16,4.0,0.0,4.0,59.0,0.0,0.0,3.0
Lassen,2021-02-16,0.0,0.0,0.0,25.0,0.0,0.0,0.0
San Benito,2021-02-16,10.0,0.0,10.0,25.0,4.0,0.0,0.0
Fresno,2021-02-16,303.0,21.0,324.0,1528.0,81.0,1.0,17.0
Calaveras,2021-02-16,1.0,0.0,1.0,33.0,1.0,0.0,5.0
Plumas,2021-02-16,1.0,0.0,1.0,35.0,0.0,0.0,0.0
Ventura,2021-02-16,202.0,9.0,211.0,1168.0,48.0,1.0,31.0
Amador,2021-02-16,7.0,0.0,7.0,52.0,1.0,0.0,1.0
Santa Cruz,2021-02-16,23.0,1.0,24.0,372.0,6.0,0.0,2.0
Napa,2021-02-16,5.0,0.0,5.0,212.0,1.0,0.0,5.0
Santa Barbara,2021-02-16,104.0,3.0,107.0,603.0,22.0,1.0,30.0
Inyo,2021-02-16,0.0,0.0,0.0,29.0,0.0,0.0,2.0
Mariposa,2021-02-16,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Alameda,2021-02-16,200.0,37.0,237.0,2498.0,57.0,2.0,87.0
Orange,2021-02-16,719.0,24.0,743.0,5833.0,235.0,5.0,141.0
San Diego,2021-02-17,746.0,55.0,801.0,6476.0,236.0,11.0,210.0
Lake,2021-02-17,2.0,0.0,2.0,62.0,1.0,0.0,1.0
Tehama,2021-02-17,4.0,0.0,4.0,59.0,0.0,0.0,1.0
Colusa,2021-02-17,3.0,0.0,3.0,48.0,0.0,0.0,5.0
San Luis Obispo,2021-02-17,24.0,3.0,27.0,460.0,5.0,0.0,21.0
Merced,2021-02-17,32.0,0.0,32.0,272.0,15.0,0.0,2.0
Sacramento,2021-02-17,204.0,21.0,225.0,2629.0,60.0,6.0,95.0
Santa Barbara,2021-02-17,95.0,6.0,101.0,603.0,20.0,1.0,23.0
Plumas,2021-02-17,1.0,0.0,1.0,35.0,0.0,0.0,0.0
Sutter,2021-02-17,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Monterey,2021-02-17,65.0,0.0,65.0,720.0,9.0,0.0,25.0
Fresno,2021-02-17,295.0,16.0,311.0,1540.0,75.0,0.0,15.0
Tuolumne,2021-02-17,3.0,0.0,3.0,84.0,1.0,0.0,4.0
Del Norte,2021-02-17,1.0,0.0,1.0,52.0,0.0,0.0,2.0
Humboldt,2021-02-17,12.0,3.0,15.0,274.0,3.0,2.0,3.0
El Dorado,2021-02-17,5.0,1.0,6.0,190.0,3.0,0.0,9.0
Butte,2021-02-17,16.0,0.0,16.0,451.0,2.0,0.0,4.0
Trinity,2021-02-17,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Solano,2021-02-17,85.0,12.0,97.0,590.0,23.0,1.0,19.0
Santa Clara,2021-02-17,261.0,20.0,281.0,3055.0,87.0,5.0,52.0
Glenn,2021-02-17,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Mendocino,2021-02-17,11.0,0.0,11.0,83.0,2.0,0.0,4.0
Riverside,2021-02-17,535.0,68.0,603.0,3238.0,172.0,7.0,36.0
San Joaquin,2021-02-17,134.0,9.0,143.0,907.0,51.0,5.0,3.0
Placer,2021-02-17,63.0,13.0,76.0,766.0,19.0,2.0,17.0
Inyo,2021-02-17,1.0,0.0,1.0,29.0,0.0,0.0,2.0
Mariposa,2021-02-17,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Kings,2021-02-17,49.0,0.0,49.0,135.0,9.0,0.0,8.0
Madera,2021-02-17,41.0,9.0,50.0,278.0,10.0,0.0,0.0
Shasta,2021-02-17,12.0,0.0,12.0,567.0,2.0,0.0,22.0
San Bernardino,2021-02-17,556.0,44.0,600.0,3557.0,143.0,4.0,104.0
Contra Costa,2021-02-17,98.0,20.0,118.0,1333.0,33.0,1.0,41.0
Sonoma,2021-02-17,43.0,0.0,43.0,645.0,15.0,0.0,23.0
Nevada,2021-02-17,4.0,0.0,4.0,129.0,0.0,0.0,3.0
Amador,2021-02-17,6.0,0.0,6.0,52.0,1.0,0.0,1.0
Orange,2021-02-17,663.0,26.0,689.0,5847.0,230.0,7.0,128.0
Mono,2021-02-17,1.0,0.0,1.0,17.0,0.0,0.0,1.0
Yuba,2021-02-17,29.0,1.0,30.0,261.0,9.0,0.0,2.0
Siskiyou,2021-02-17,1.0,0.0,1.0,56.0,1.0,0.0,2.0
Imperial,2021-02-17,28.0,2.0,30.0,234.0,16.0,1.0,2.0
Calaveras,2021-02-17,1.0,0.0,1.0,33.0,1.0,0.0,6.0
Ventura,2021-02-17,195.0,8.0,203.0,1143.0,46.0,1.0,30.0
Yolo,2021-02-17,11.0,0.0,11.0,129.0,6.0,0.0,1.0
