"Are you self-employed?","How many employees does your company or organization have?","Is your employer primarily a tech company/organization?","Is your primary role within your company related to tech/IT?","Does your employer provide mental health benefits as part of healthcare coverage?","Do you know the options for mental health care available under your employer-provided coverage?","Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","Does your employer offer resources to learn more about mental health concerns and options for seeking help?","Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?","If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:","Do you think that discussing a mental health disorder with your employer would have negative consequences?","Do you think that discussing a physical health issue with your employer would have negative consequences?","Would you feel comfortable discussing a mental health disorder with your coworkers?","Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?","Do you feel that your employer takes mental health as seriously as physical health?","Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?","Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?","Do you know local or online resources to seek help for a mental health disorder?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","Do you believe your productivity is ever affected by a mental health issue?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?","Do you have previous employers?","Have your previous employers provided mental health benefits?","Were you aware of the options for mental health care provided by your previous employers?","Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?","Did your previous employers provide resources to learn more about mental health issues and how to seek help?","Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?","Do you think that discussing a mental health disorder with previous employers would have negative consequences?","Do you think that discussing a physical health issue with previous employers would have negative consequences?","Would you have been willing to discuss a mental health issue with your previous co-workers?","Would you have been willing to discuss a mental health issue with your direct supervisor(s)?","Did you feel that your previous employers took mental health as seriously as physical health?","Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?","Would you be willing to bring up a physical health issue with a potential employer in an interview?","Why or why not?","Would you bring up a mental health issue with a potential employer in an interview?","Why or why not?","Do you feel that being identified as a person with a mental health issue would hurt your career?","Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?","How willing would you be to share with friends and family that you have a mental illness?","Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?","Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?","Do you have a family history of mental illness?","Have you had a mental health disorder in the past?","Do you currently have a mental health disorder?","If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?","Have you been diagnosed with a mental health condition by a medical professional?","If so, what condition(s) were you diagnosed with?","Have you ever sought treatment for a mental health issue from a mental health professional?","If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?","What is your age?","What is your gender?","What country do you live in?","What US state or territory do you live in?","What country do you work in?","What US state or territory do you work in?","Which of the following best describes your work position?","Do you work remotely?"
0,100-500,1,,Yes,Yes,No,Yes,Yes,"Very easy",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"Some did","No, I only became aware later","None did","Some did","I don't know","Yes, all of them","Yes, all of them","No, at none of my previous employers","Some of my previous employers","None did","Some of them",No,"It has nothing to do with my ability to perform my role.",No,"Again, it has nothing to do with the ability to perform my role. I am not my mental illness.","No, I don't think it would","No, they do not","Somewhat not open","Yes, I experienced",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,29,Female,"United States of America",Pennsylvania,"United States of America",Pennsylvania,Other,Always
1,,,,,,,,,,,,,,,,0,"Yes, I know several","Not applicable to me",N/A,"Not applicable to me","Not applicable to me",Yes,1-25%,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","None of them","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",Yes,"I have back issues, neck issues and on occasion may need time off for treatment",Yes,"Depression, burn out and related issues often need attention. I wouldn't work for someone who didn't respect that.",Maybe,Maybe,"Somewhat open",N/A,,"I don't know",Maybe,No,,,No,,0,"Not applicable to me","Not applicable to me",42,male,"United States of America",Missouri,"United States of America",Missouri,"Back-end Developer",Always
0,100-500,1,,"I don't know","I am not sure",Yes,"I don't know","I don't know","Very easy",No,No,Yes,Maybe,"I don't know",No,,,,,,,,,0,,,,,,,,,,,,No,"I think it would lower my chances of getting the job and take away from all the things that I can bring to the job! ",No,"Same thing, lower chances of getting the job and fear that they would zone in on that rather than all the awesomeness I can bring ","Yes, I think it would","Yes, I think they would",Neutral,No,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",25,"female ","United States of America",Colorado,"United States of America",Colorado,"Back-end Developer|Front-end Developer",Never
0,26-100,1,,Yes,Yes,Yes,No,No,"Somewhat easy",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did",No,"Yes, all of them","Some of them","No, at none of my previous employers","Some of my previous employers","None did","Some of them",No,"Well of course the employer doesn't want to hire people with significant physical health issues, especially if it's the first issue which comes up. Iv'e had to fill in Afghanistan for my country as asking country would make it too easy to identify me. You shouldn't be asking such personal questions on an anonymous survey.",No,"Well of course the employer doesn't want to hire people with significant physical health issues, especially if it's the first issue which comes up. On the other hand I would be comfortable putting in specific conditions for hours (time or amount) which I require for my own mental health. I'm looking for employment, not a psychological counsellor when I see work.","Yes, I think it would","Yes, they do",Neutral,"Maybe/Not sure",No,No,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Stress Response Syndromes|Addictive Disorder",,Yes,,0,Sometimes,Often,49,Male,Afghanistan,,Afghanistan,,"Executive Leadership|Supervisor/Team Lead|Designer",Never
0,26-100,1,,No,No,Yes,No,"I don't know","I don't know",Yes,Yes,No,No,"I don't know",No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did",No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them",No,"Unless the issue severely stops me from working, I think mentioning it would affect my chances. ",No,"I do not think that they would understand, and it would affect their decision. ",Maybe,Maybe,"Somewhat open","Maybe/Not sure",No,Yes,No,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",1,Sometimes,Sometimes,36,Male,Pakistan,,"United States of America",Florida,Other,Always
1,,,,,,,,,,,,,,,,1,"No, I don't know any","Not applicable to me",N/A,"Not applicable to me","Not applicable to me",Yes,1-25%,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","None of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",Yes,,Maybe,,"Yes, I think it would",Maybe,"Somewhat not open","Yes, I observed",Maybe,No,Yes,No,,,No,,0,"Not applicable to me",Often,30,Male,"United Kingdom",,"United Kingdom",,"One-person shop",Always
0,26-100,1,,"I don't know","I am not sure",No,"I don't know","I don't know","Somewhat difficult",Maybe,No,Maybe,Maybe,No,No,,,,,,,,,1,"No, none did","No, I only became aware later","None did","None did","I don't know","I don't know","Some of them","Some of my previous employers","I don't know","I don't know","None of them",Maybe,"It depends on the issue and how I feel like the employer is likely to respond.",No,"I feel like they'd not hire me because of it. They'd come up with some BS excuse but I'd suspect it'd be because of the mental health issue.","No, I don't think it would",Maybe,"Somewhat open",N/A,,Yes,No,No,,,No,,0,"Not applicable to me","Not applicable to me",28,Male,"United States of America",Oregon,"United States of America",Oregon,Other,Sometimes
0,"More than 1000",0,1,"I don't know",No,No,No,"I don't know","Somewhat difficult",Maybe,Maybe,No,No,No,No,,,,,,,,,1,"Some did","I was aware of some","None did","Some did","I don't know","Yes, all of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them",Maybe,"If i felt it would negatively effect my chances of getting the position",No,"I feel like it would prevent my future employment","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,37,m,"United States of America",Texas,"United States of America",Texas,"Support|Front-end Developer|Designer",Sometimes
0,6-25,0,0,"Not eligible for coverage / N/A",Yes,No,No,Yes,"Somewhat difficult",Yes,No,No,No,"I don't know",Yes,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","None did","Some of them",No,"Not unless it was relevant to my job, but I do not go after jobs where that could be and I do not really have any physical health issues. I would not bring up an intention to get pregnant either (which could be considered as such).",No,"To avoid stigma.","Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Maybe,Yes,Maybe,Yes,"Attention Deficit Hyperactivity Disorder",,Yes,"Attention Deficit Hyperactivity Disorder",0,Rarely,Often,23,female,"United States of America",Ohio,"United States of America",Ohio,"Other|Support|Back-end Developer|Front-end Developer|Designer",Sometimes
1,,,,,,,,,,,,,,,,0,"No, I don't know any","Not applicable to me",N/A,"Not applicable to me","Not applicable to me","Not applicable to me",,1,"I don't know","No, I only became aware later","None did","None did","I don't know","I don't know","None of them","No, at none of my previous employers","I don't know","I don't know","None of them",Yes,"I would not feel it inappropriate",Maybe,"Not sure how I'd feel about. I haven't had one",Maybe,Maybe,Neutral,N/A,,Yes,No,No,,,No,,0,"Not applicable to me","Not applicable to me",37,Male,"United Kingdom",,"United Kingdom",,DevOps/SysAdmin,Sometimes
1,,,,,,,,,,,,,,,,1,"I know some","Sometimes, if it comes up","I'm not sure","Sometimes, if it comes up","I'm not sure",Yes,51-75%,1,"I don't know","N/A (not currently aware)","I don't know","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Maybe,,Maybe,,"Yes, it has",Maybe,"Very open","Maybe/Not sure",Maybe,No,Maybe,Yes,"Psychotic Disorder (Schizophrenia, Schizoaffective, etc)",,Yes,"Psychotic Disorder (Schizophrenia, Schizoaffective, etc)",1,Often,Often,42,m,Netherlands,,Netherlands,,"One-person shop|Designer|Front-end Developer|Back-end Developer",Always
0,"More than 1000",0,1,Yes,Yes,Yes,Yes,Yes,"Neither easy nor difficult",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did",Sometimes,"Some of them","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",No,"I am privileged enough to know how to do prior research. I expect to find answers to my question in existing resources on the HR site.",No,,Maybe,"Yes, I think they would","Somewhat not open",No,,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder|Dissociative Disorder",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,32,male,"United States of America",Minnesota,"United States of America",Minnesota,Other,Never
0,1-5,1,,No,N/A,"I don't know","I don't know","I don't know","Somewhat difficult",No,No,No,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","I don't know","Some did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","I don't know","Some of them",Maybe,"If I was desperate for the job, I would not want to jeopardize my candidacy. On the other hand, if the health issue was very serious and could interfere with the responsibilities of the position, I feel that the employer should probably know about it.",Maybe,"If I was desperate for the job, I would not want to jeopardize my candidacy. On the other hand, if the health issue was very serious and could interfere with the responsibilities of the position, I feel that the employer should probably know about it.",Maybe,Maybe,"Somewhat not open","Maybe/Not sure",Yes,"I don't know",No,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Substance Use Disorder|Addictive Disorder",No,,0,"Not applicable to me","Not applicable to me",28,Male,Canada,,Canada,,"Front-end Developer",Always
0,"More than 1000",0,1,"I don't know","I am not sure",No,"I don't know","I don't know","Neither easy nor difficult",No,No,No,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did","I don't know","Some of them","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",Maybe,,No,,Maybe,Maybe,Neutral,No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Sometimes,Sometimes,28,M,"United Kingdom",,"United Kingdom",,"Back-end Developer",Never
0,"More than 1000",1,,Yes,Yes,No,"I don't know","I don't know","Somewhat easy",Maybe,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,Maybe,"depends on the issue, afraid of presumptions",No,"more personal issue, afraid of looking like an excuse (see: why don't you just smile more?)","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure",N/A,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",1,Sometimes,Often,29,Male,"United States of America",California,"United States of America",California,"Back-end Developer",Never
0,100-500,1,,"I don't know","I am not sure",No,"I don't know","I don't know","I don't know",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"I don't know","I was aware of some","None did","None did",No,"Some of them","None of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",No,"Would be concerned I wouldn't be considered for the position.",No,"Would be concerned I wouldn't be considered for the position.","Yes, I think it would","Yes, I think they would","Very open","Yes, I observed",Yes,No,Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Obsessive-Compulsive Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",0,Sometimes,Often,35,Male,"United States of America",Georgia,"United States of America",Georgia,"Supervisor/Team Lead",Always
1,,,,,,,,,,,,,,,,1,"Yes, I know several","Sometimes, if it comes up",Yes,"Sometimes, if it comes up","I'm not sure",Yes,26-50%,1,"Yes, they all did","I was aware of some","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","Some of my previous employers","Some did","Some of them",Yes,"For example I might need a standing desk or special chair, that is considered more 'normal' than explaining your special needs for a mental health condition. ",No,"It would be considered strange. I am already a minority, I don't need more negative things counted against me in an interview. ","Yes, it has","Yes, they do","Somewhat open",No,,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,31,Female,"United States of America",Wisconsin,"United States of America",Wisconsin,"Back-end Developer",Sometimes
1,,,,,,,,,,,,,,,,1,"I know some","No, because it would impact me negatively",N/A,"No, because it would impact me negatively","I'm not sure",Yes,1-25%,1,"No, none did","N/A (not currently aware)","None did","None did","Yes, always","Some of them","Some of them","No, at none of my previous employers","I don't know","Some did","Some of them",Maybe,"If it would impact my performance.",No,"I am bi-polar. For many people, their only understanding of bi-polar is the mass shooter on the nightly news. That is so far from the reality of most bi-polar people that it's like saying because you drive a car you must be a drunk driver.","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed",Yes,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,46,Female,"United States of America",California,"United States of America",California,"One-person shop",Never
1,,,,,,,,,,,,,,,,1,"Yes, I know several","No, because it doesn't matter","I'm not sure","Sometimes, if it comes up",No,Unsure,,1,"I don't know","N/A (not currently aware)","None did","Some did","I don't know","I don't know","None of them","Some of my previous employers","No, at none of my previous employers","Some did","None of them",Maybe,"It would really depend on the circumstances",Maybe,"Same as before, it would really depend on the circumstances.",Maybe,Maybe,"Somewhat open","Yes, I observed",Maybe,"I don't know",Yes,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder|Stress Response Syndromes",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",1,Rarely,Sometimes,19,male,"United States of America",Massachusetts,"United States of America",Massachusetts,"Dev Evangelist/Advocate|DevOps/SysAdmin|Designer|Front-end Developer|Support",Sometimes
0,500-1000,1,,"Not eligible for coverage / N/A","I am not sure",Yes,Yes,Yes,"Somewhat easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"I don't know","N/A (not currently aware)","I don't know","None did","I don't know","I don't know","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",Maybe,"During the interview process I wouldn't yet know details of the company's policy on this.",Maybe,,"No, I don't think it would","No, I don't think they would","Somewhat open",No,,"I don't know",Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder|Stress Response Syndromes",No,,0,"Not applicable to me","Not applicable to me",35,Male,Sweden,,Sweden,,"Other|Designer|Front-end Developer",Always
0,"More than 1000",0,1,Yes,"I am not sure",No,Yes,Yes,"Somewhat easy",No,No,Yes,Yes,"I don't know",No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",Maybe,,Maybe,,"No, I don't think it would","No, I don't think they would","Very open","Yes, I observed",No,"I don't know",Maybe,No,,,No,,0,Rarely,Never,31,Male,"United Kingdom",,"United Kingdom",,"Back-end Developer",Sometimes
1,,,,,,,,,,,,,,,,0,"No, I don't know any","Not applicable to me",N/A,"Not applicable to me","Not applicable to me",Unsure,,0,,,,,,,,,,,,Maybe,,Maybe,Sure,Maybe,Maybe,"Somewhat not open",No,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",31,Male,"United States of America",Florida,"United States of America",Florida,"Executive Leadership",Sometimes
0,"More than 1000",1,,Yes,Yes,Yes,Yes,Yes,"Somewhat easy",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"Some did","No, I only became aware later","None did","None did","I don't know","I don't know","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers","None did","Yes, all of them",Yes,"It's relevant.",Yes,"It's also relevant","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed",Maybe,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",37,m,Canada,,Canada,,"Front-end Developer",Always
0,6-25,1,,"I don't know","I am not sure",Yes,Yes,Yes,"Very easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","None did","None of them",Maybe,"Would just depend on the relevance to the discussion.  I wouldn't bring it up unless necessary.",Maybe,"Would just depend on the relevance to the discussion.  I wouldn't bring it up unless necessary.",Maybe,"No, I don't think they would","Very open",No,,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Often,34,Female,"United States of America",Oklahoma,"United States of America",Oklahoma,Support,Sometimes
0,26-100,1,,Yes,Yes,No,No,"I don't know","Very easy",No,No,Maybe,Yes,"I don't know",No,,,,,,,,,1,"Yes, they all did","I was aware of some","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","Some of my previous employers","None did","Some of them",Maybe,"Yes if it would impact my work",Maybe,"If it meant that I needed a flex schedule or similar accomodation","No, I don't think it would",Maybe,"Very open",No,,Yes,Yes,No,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Sometimes,39,Woman,"United States of America",California,"United States of America",California,"Other|Front-end Developer",Sometimes
1,,,,,,,,,,,,,,,,1,"I know some","Not applicable to me",N/A,"Not applicable to me","Not applicable to me",Unsure,,1,"Some did","I was aware of some","None did","None did","I don't know","Some of them","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Maybe,"Depends on the physical health issue and how severely it affects me. For example, I would talk about my carpal tunnel, because it affects my job performance and I need ergonomic keyboards and mice in order to not be in constant pain. I wouldn't bring up my polycystic ovarian syndrome (PCOS) because it does not affect my work performance.",Maybe,"I probably wouldn't, depending on what the hypothetical mental health issue is.","Yes, I think it would","Yes, I think they would","Very open",No,,Yes,No,No,,,No,,1,"Not applicable to me",Sometimes,29,Female,"United States of America",Washington,"United States of America",Washington,"Front-end Developer|One-person shop",Always
0,100-500,1,,Yes,Yes,No,No,"I don't know","Somewhat difficult",Maybe,No,No,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","None did","None did","I don't know","Some of them","None of them","No, at none of my previous employers","No, at none of my previous employers","Some did","Some of them",Yes,,No,"Feel like they would potentially not hire because of mental health issues","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,29,female,"United States of America",Pennsylvania,"United States of America",Pennsylvania,"Back-end Developer",Always
0,"More than 1000",1,,Yes,"I am not sure",No,Yes,Yes,"Very easy",No,No,Yes,Yes,No,No,,,,,,,,,1,"Yes, they all did","I was aware of some","Some did","Yes, they all did","Yes, always","None of them","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Yes,"If I have a physical health issue, the new employer needs to be aware of it before hiring me.",Maybe,"It would depend on the type of MH iddue.",Maybe,Maybe,"Somewhat open",No,,Yes,Yes,No,,,No,,1,Never,Sometimes,63,Male,"United States of America",Maryland,"United States of America",Maryland,"Back-end Developer",Sometimes
1,,,,,,,,,,,,,,,,0,"I know some","No, because it would impact me negatively","I'm not sure","No, because it would impact me negatively","Not applicable to me",Yes,26-50%,1,"Some did","I was aware of some","Some did","Some did",Sometimes,"Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Maybe,,No,"might not get the job",Maybe,Maybe,"Somewhat open","Maybe/Not sure",Maybe,No,Maybe,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Dissociative Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,45,male,Australia,,Australia,,"Designer|Front-end Developer|Back-end Developer|Sales|Supervisor/Team Lead",Never
1,,,,,,,,,,,,,,,,0,"No, I don't know any","No, because it doesn't matter","I'm not sure","Not applicable to me","Not applicable to me",Yes,26-50%,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Yes, at all of my previous employers","Yes, at all of my previous employers","None did","None of them",Maybe,"Depends on the employer, the mood and the flow of the conversation. Nothing is set in stone, conversations like these are fluid.",Maybe,"depends on the person","No, I don't think it would","No, I don't think they would","Somewhat not open",No,,"I don't know",Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",No,,0,Sometimes,Sometimes,35,m,Greece,,Greece,,"Front-end Developer|Back-end Developer|Dev Evangelist/Advocate",Always
1,,,,,,,,,,,,,,,,0,"Yes, I know several","No, because it would impact me negatively",Yes,"Sometimes, if it comes up","I'm not sure",Yes,26-50%,0,,,,,,,,,,,,Maybe,"I expect to be discriminated against.",No,"I would be discriminated against.","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I experienced",N/A,Yes,Yes,Maybe,,"Dissociative Disorder|Post-traumatic Stress Disorder|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Yes,"Post-traumatic Stress Disorder|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",1,Often,Sometimes,32,Male,"United Kingdom",,"United Kingdom",,"Back-end Developer|One-person shop",Always
1,,,,,,,,,,,,,,,,0,"No, I don't know any","Not applicable to me",N/A,"Not applicable to me","Not applicable to me",Unsure,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","Yes, all of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",Yes,"physical health is something that has no stigma attached. Although many places won't hire you, or look for ways to get rid of you if they can't get 100% productivity out of you.",No,"Employers look for ways to disqualify you. And even in our lovely web industry, we don not give one shit about employees beyond what we can extract from them.","Yes, I think it would","Yes, I think they would","Not open at all","Yes, I observed",Yes,"I don't know",Maybe,No,,,No,,0,"Not applicable to me","Not applicable to me",44,Male,"United States of America",California,"United States of America",California,"One-person shop",Always
0,"More than 1000",0,1,No,N/A,No,No,"I don't know","Very difficult",Yes,Yes,No,No,No,Yes,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Yes, all of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Yes, all of them",No,"I am concerned that it would count against me at interview stage.",No,"I'm almost certain it'd count against me at interview stage.","Yes, it has","Yes, I think they would","Somewhat not open","Yes, I experienced",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",1,Often,Often,28,Queer,"United Kingdom",,"United Kingdom",,Support,Never
1,,,,,,,,,,,,,,,,0,"I know some","Not applicable to me",N/A,"Not applicable to me","Not applicable to me",Unsure,,1,"I don't know","I was aware of some","None did","None did","Yes, always","I don't know","None of them","Some of my previous employers","Some of my previous employers","None did","Some of them",Maybe,"If i felt it needed special accommodation that could restrict my ability to perform the job if assistance not provided.",Maybe,"trust - if I trusted the employer and needed their help I would bring it up. ",Maybe,"Yes, I think they would","Somewhat open","Yes, I observed",Maybe,No,Maybe,Maybe,,"Stress Response Syndromes",No,,1,"Not applicable to me","Not applicable to me",39,male,Ireland,,Ireland,,DevOps/SysAdmin,Sometimes
1,,,,,,,,,,,,,,,,1,"Yes, I know several","Not applicable to me",N/A,"Not applicable to me","Not applicable to me",Yes,26-50%,1,"Some did","I was aware of some","None did","None did",Sometimes,"Some of them","Some of them","No, at none of my previous employers","Some of my previous employers","None did","None of them",No,"As a middle-aged women coder, I feel I already have two strikes against me when I interview.",No,"Same as for physical health, but mental health has more stigma attached to it.","Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Maybe,Yes,Yes,Maybe,,"Mood Disorder (Depression, Bipolar Disorder, etc)",No,,1,Rarely,Often,55,female,"United States of America",California,"United States of America",California,"One-person shop",Sometimes
