College Name,State,Public (1)/ Private (2),# appli. rec'd,# appl. accepted,# new stud. enrolled,% new stud. from top 10%,% new stud. from top 25%,# FT undergrad,# PT undergrad,in-state tuition,out-of-state tuition,room,board,add. fees,estim. book costs,estim. personal $,% fac. w/PHD,stud./fac. ratio,Graduation rate
University of Maine at Presque Isle,ME,1,461,381,235,10,40,974,503,2700,6600,1904,1726,200,400,1675,67,15.2,35
Bates College,ME,2,3461,1541,577,53,90,1599,,25180,25180,,,,650,1120,79,9.8,93
Bowdoin College,ME,2,3356,1019,418,76,100,1490,8,19030,19030,2620,3265,325,1495,875,93,11.2,96
Colby College,ME,2,2848,1319,456,58,84,1720,35,18930,18930,2890,2700,900,500,1000,83,10.2,91
University of Maine at Farmington,ME,1,1208,803,438,20,48,1906,344,2790,6810,2124,1846,240,450,1647,67,15.9,59
University of Maine at Fort Kent,ME,1,225,168,104,5,28,467,174,1968,4800,1675,1720,90,500,,65,15,38
Husson College,ME,2,723,652,361,10,30,951,706,7800,7800,4000,,100,350,1500,36,22,84
University of New England,ME,2,1209,750,265,19,54,820,159,11450,11450,5045,,500,900,2500,72,11.4,64
Saint Joseph's College,ME,2,833,682,217,12,33,716,2196,9985,9985,,,295,500,800,53,27.2,85
Thomas College,ME,2,356,312,139,18,65,388,412,8850,8850,2300,2150,200,600,1000,29,21.8,75
University of Maine at Orono,ME,1,5260,4589,1741,23,52,7366,1795,3085,7975,4385,,,500,,93,14.5,56
University of Maine at Machias,ME,1,441,369,172,17,45,633,317,2700,6600,1830,1850,175,600,400,46,15.1,64
Unity College,ME,2,456,409,185,,,458,25,8750,9550,2375,2375,425,400,700,45,11.4,44
University of Southern Maine,ME,1,2335,1933,905,10,39,3556,2917,2880,8160,,,226,500,1530,,14.6,
Adrian College,MI,2,1428,1097,336,22,50,1036,99,11250,11250,1590,2160,100,400,1165,53,12.9,54
Albion College,MI,2,1899,1720,489,37,68,1594,32,13868,13868,2426,2400,1042,450,850,89,13.7,73
Alma College,MI,2,1267,1080,385,44,73,1306,28,12572,12572,2226,2326,297,400,400,79,15.3,68
Andrews University,MI,2,1130,704,322,14,23,1586,326,9996,9996,1815,1275,135,900,1320,62,11.5,46
Aquinas College,MI,2,619,516,219,20,51,1251,767,11208,11208,4124,,,350,1615,55,12.7,65
Calvin College,MI,2,1784,1512,913,29,56,3401,136,10230,10230,1570,2140,,400,1210,75,14.8,81
Central Michigan University,MI,1,7304,6263,2539,,,13244,1396,2725,6660,,,250,600,1000,66,20.4,70
Concordia College,MI,2,180,171,74,19,39,562,18,10430,10430,,,,400,500,55,11.6,84
William Tyndale College,MI,2,260,195,139,,,235,307,5519,5519,,2400,255,500,500,85,12.9,16
Eastern Michigan University,MI,1,6693,5423,2242,,,13142,6421,2482,6360,4031,,233,600,1200,74,20.6,49
Ferris State University,MI,1,8671,5855,3395,,,8996,1901,3412,6911,4171,,,590,1082,38,18.2,57
Grand Valley State University,MI,1,5165,3887,1561,20,60,8234,2619,2422,6108,3800,,120,500,1000,64,20.6,57
Hillsdale College,MI,2,920,745,347,35,66,1133,42,11090,11090,2600,2100,210,400,750,80,12,79
Hope College,MI,2,1712,1483,624,37,69,2505,208,12275,12275,1980,2361,84,465,1100,72,12.5,72
Kalamazoo College,MI,2,1224,1101,338,55,84,1218,,16179,16179,2667,2427,70,510,780,75,12.4,74
Lawrence Technological University,MI,2,867,695,312,28,67,2176,2063,6759,6759,,2250,90,700,,40,15.8,45
Madonna University,MI,2,440,391,231,13,27,1367,2662,5040,5040,2074,2078,40,395,1155,54,14.7,57
Marygrove College,MI,2,,177,125,10,75,602,488,8094,8094,1100,880,48,566,,51,10.6,23
Michigan State University,MI,1,18114,15096,6180,23,57,26640,4120,4103,10658,1646,2088,524,504,600,93,14,71
Michigan Technological University,MI,1,2618,2288,1032,42,77,5524,414,3510,8127,1836,2142,126,900,1200,82,17,65
Lake Superior State University,MI,1,1406,1169,522,10,28,2432,592,3312,6456,1625,2561,,500,600,47,19.9,51
Northern Michigan University,MI,1,4519,3844,1432,,25,6261,1634,2076,3880,,,50,400,1165,59,22,51
Oakland University,MI,1,3041,2581,1173,16,56,6441,3982,3123,9114,,,230,400,650,88,19.7,53
Olivet College,MI,2,620,565,296,,,766,58,10500,10500,1600,1900,,550,500,53,16,51
Saginaw Valley State University,MI,1,1549,1349,687,,,3598,2147,2674,5673,3650,,217,550,900,77,18.2,40
Siena Heights College,MI,2,464,419,183,10,31,686,287,9240,9240,1940,1940,,475,1090,29,7.2,47
Spring Arbor College,MI,2,372,362,181,15,32,1501,353,8600,8600,1980,1570,106,385,665,48,15.4,49
University of Detroit Mercy,MI,2,927,731,415,24,50,2149,2217,11130,11130,1926,2070,100,600,2166,72,13.5,51
University of Michigan at Dearborn,MI,1,1796,1303,882,37,72,3493,3116,3440,10116,,,,466,1862,80,18,63
University of Michigan at Flint,MI,1,970,877,551,23,55,3105,2944,2916,9534,,,80,500,1000,70,17.7,64
Wayne State University,MI,1,4219,3098,1543,,44,9778,10455,3271,7162,,3271,100,468,,85,10.9,41
Western Michigan University,MI,1,9167,7191,2738,24,53,15739,4278,2785,6940,1675,2425,455,500,1700,80,24.7,55
Baker College of Flint,MI,2,1754,1754,1171,,,2805,1342,5760,5960,,,,600,,11,38.2,
Center for Creative Studies,MI,2,601,396,203,1,20,525,323,11230,11230,3843,2800,130,2340,620,8,6.8,47
Northwood University,MI,2,1093,998,285,5,25,1650,5180,9450,9450,2600,1785,215,600,,33,91.8,35
University of Michigan at Ann Arbor,MI,1,19152,12940,4893,66,92,22045,1339,5040,15732,,,175,476,1600,90,11.5,87
Augsburg College,MN,2,662,513,257,12,30,2074,726,11902,11902,4372,,112,540,950,65,12.8,58
Bemidji State University,MN,1,1208,877,546,12,36,3796,824,2133,4425,2700,,382,660,1800,57,19.6,46
Carleton College,MN,2,2694,1579,489,75,93,1870,12,19292,19292,1623,2334,126,550,550,81,10.4,91
College of Saint Benedict,MN,2,938,864,511,29,62,1715,103,12247,12247,1971,2250,88,500,600,70,13.1,72
College of Saint Catherine,MN,2,511,411,186,23,51,1692,562,12224,12224,2290,2150,220,450,1000,63,11.5,77
College of St. Scholastica,MN,2,672,596,278,29,60,1350,275,11844,11844,,,75,450,1146,54,11.6,72
University of St. Thomas,MN,2,2057,1807,828,26,53,4106,982,11712,11712,1716,2321,36,500,800,80,13.8,89
Concordia College-Moorhead,MN,2,2007,1808,829,30,61,2917,82,10110,10110,1760,1405,100,450,800,,13.4,69
Concordia College at St. Paul,MN,2,281,266,139,13,29,1049,181,10500,10500,,,,450,950,69,12.8,45
Gustavus Adolphus College,MN,2,1709,1385,634,36,72,2281,50,14125,14125,3600,,35,400,700,79,12.5,80
Hamline University,MN,2,1006,825,328,34,73,1362,102,13252,13252,2026,2168,156,450,550,89,13,65
Macalester College,MN,2,2939,1496,452,56,86,1723,113,15909,15909,2480,2292,101,500,700,85,11.9,77
Mankato State University,MN,1,3073,2672,1547,9,29,9649,1792,2600,4300,2643,,300,450,1660,57,19,68
Moorhead State University,MN,1,2442,2164,1189,12,37,5983,1075,2134,4426,2664,,279,600,1000,76,18.1,60
Northwestern College,MN,2,699,601,352,17,43,1209,33,11328,11328,1095,1908,,400,1885,45,14.5,
Southwest State University,MN,1,1047,938,511,13,33,2091,546,2285,4285,2750,,365,600,1800,58,16.5,51
Saint Cloud State University,MN,1,3971,3306,1921,10,34,11493,2206,2270,4259,1704,921,255,350,1884,70,18.9,58
Saint John's University,MN,2,933,800,444,18,45,1691,72,12247,12247,2160,1921,88,500,600,76,12,70
Saint Mary's College of Minnesota,MN,2,876,802,367,14,35,1263,118,10800,10800,1700,1900,100,400,820,68,18.8,78
Saint Olaf College,MN,2,2248,1673,745,38,73,2888,105,14350,14350,2050,1700,,550,550,82,10,83
University of Minnesota at Duluth,MN,1,4192,3126,1656,15,45,5887,1254,2994,8828,,,310,753,2610,79,19,53
University of Minnesota at Morris,MN,1,1458,874,588,56,86,1846,154,3330,9843,1365,1755,315,600,1500,74,14.6,51
Winona State University,MN,1,3325,2047,1301,20,45,5800,872,2200,4200,2700,,400,300,1200,53,20.2,58
University of Minnesota Twin Cities,MN,1,11054,6397,3524,26,55,16502,21836,3171,8949,1498,2246,414,714,2910,88,12.2,45
Bethel College,MN,2,856,698,310,,,1617,102,11050,11050,1780,2220,,,,60,12.1,68
Avila College,MO,2,373,298,86,14,43,651,490,8950,8950,3800,,80,500,,57,10.6,54
Central Methodist College,MO,2,633,504,210,11,32,920,148,7780,7780,1820,1550,270,600,1300,50,15.1,49
Central Missouri State University,MO,1,4681,4101,1436,10,35,8094,1596,2310,4620,1210,2078,,300,2250,69,19.7,50
Columbia College,MO,2,314,158,132,10,28,690,5346,8294,8294,1372,2328,45,400,900,87,15.3,37
Culver-Stockton College,MO,2,1576,1110,274,24,55,992,112,8000,8000,,,,400,500,51,14.1,51
Drury College,MO,2,700,650,314,33,66,1065,48,8730,8730,1824,1699,272,500,750,82,13.2,67
Fontbonne College,MO,2,291,245,126,16,49,981,337,8390,8390,,,150,350,1500,45,21.5,62
Kansas City Art Institute,MO,2,639,427,182,,,527,32,6572,6572,,,336,1510,1695,,9.4,58
Lincoln University,MO,1,1400,1396,688,5,19,2019,1287,1800,3600,1112,1616,110,,,36,14.4,
Lindenwood College,MO,2,810,484,356,6,33,2155,191,9200,9200,2400,2400,200,1000,4200,65,24.1,100
Maryville University,MO,2,549,397,169,26,51,1343,1751,9250,9250,4550,,,425,1350,52,13.1,61
Missouri Southern State College,MO,1,1576,1326,913,13,50,3689,2200,1920,3840,,,86,200,400,52,20.3,100
Missouri Valley College,MO,2,1310,983,316,5,35,1057,175,8550,8550,2525,2525,100,400,900,35,17.4,27
Missouri Western State College,MO,1,1887,1870,848,8,30,3615,1446,1998,3900,1307,1304,128,500,2000,54,19,40
Northeast Missouri State University,MO,1,6040,4577,1620,36,72,5640,266,2704,4856,3080,,118,400,1100,69,15.7,76
Northwest Missouri State University,MO,1,2729,2535,1257,8,29,4787,472,2130,3735,3136,,67,250,1630,62,21.7,54
Park College,MO,2,270,225,65,15,35,3440,4103,3750,3750,,,,700,800,39,18.4,49
Rockhurst College,MO,2,935,858,345,22,50,1127,754,9490,9490,4100,,270,500,1500,60,10.7,79
College of the Ozarks,MO,2,3258,338,326,9,40,1277,195,,,,,120,600,500,53,14.3,87
Southeast Missouri State University,MO,1,2281,1870,1408,18,43,6553,1246,2550,4680,2120,1420,120,200,2150,75,17.1,45
Southwest Baptist University,MO,2,1093,1093,642,12,32,1770,967,7070,7070,1170,1330,152,400,1000,52,15.9,71
Southwest Missouri State University,MO,1,6118,5254,3204,15,37,13131,3374,2370,4740,880,1710,166,500,1360,70,19.9,56
Saint Louis University,MO,2,3294,2855,956,44,67,4576,1140,11690,11690,2300,2430,80,800,6800,84,4.6,67
Stephens College,MO,2,450,405,194,17,34,614,388,13900,13900,2400,2800,,450,2150,46,10.9,59
University of Missouri at Columbia,MO,1,6574,4637,2940,32,62,14782,1583,3030,9057,3485,,414,600,1983,87,12.7,58
University of Missouri at Rolla,MO,1,1877,1826,823,49,77,3926,561,3030,9057,,,551,700,1435,88,14.4,49
University of Missouri at Kansas City,MO,1,1901,1340,655,33,64,3416,1984,3475,9501,1980,1705,,,,98,11.6,44
University of Missouri at Saint Louis,MO,1,1618,1141,479,18,54,4793,4552,2424,7246,,,348,500,4288,71,13.4,48
Washington University,MO,2,7654,5259,1254,62,93,4879,1274,18350,18350,3431,2344,184,768,1512,91,3.9,90
Webster University,MO,2,665,462,226,17,44,1739,1550,9160,9160,2100,2240,50,500,500,68,20.6,48
Westminster College,MO,2,662,553,184,20,43,665,37,10720,10720,1870,2180,200,600,1650,66,12.5,62
William Jewell College,MO,2,663,547,315,32,67,1279,75,10060,10060,1780,1190,256,500,2600,74,11.2,59
William Woods University,MO,2,469,435,227,17,39,851,120,10535,10535,2250,2115,140,550,3700,39,12.9,52
Missouri Baptist College,MO,2,308,,110,5,23,606,1142,5780,5780,2650,,180,,,52,17.9,32
Hannibal-LaGrange College,MO,2,233,201,169,10,37,493,382,6050,6050,2510,,260,500,4680,38,11.9,
Alcorn State University,MS,1,2928,1853,481,,,2326,235,4474,6616,,,,600,1035,45,14.1,35
Belhaven College,MS,2,248,197,121,24,51,736,347,7600,7600,2805,,110,600,725,60,15.8,
Blue Mountain College,MS,2,75,75,47,,,263,127,3660,3660,690,1400,272,500,2310,33,11.3,66
Delta State University,MS,1,967,945,459,15,48,2806,538,1812,4528,1880,,482,500,1200,49,17.1,58
Jackson State University,MS,1,4799,3278,1561,,,4786,669,2230,4190,1220,1226,65,300,,60,15.4,41
Millsaps College,MS,2,905,834,319,32,61,1073,179,11320,11320,2454,2048,584,550,1350,82,12.7,58
Mississippi College,MS,2,594,385,307,36,57,1695,721,5580,5580,1260,1210,308,600,700,77,16.5,61
Mississippi University for Women,MS,1,480,405,380,19,46,1673,1014,2244,4386,,,,600,1500,49,15.8,63
Mississippi State University,MS,1,4255,3277,1609,18,57,10094,1621,4946,9866,1684,1400,477,480,1479,77,15.9,53
Mississippi Valley State University,MS,1,2800,1090,580,10,40,2124,199,2164,4306,1025,1075,213,275,1200,43,18.6,56
Rust College,MS,2,1328,673,282,25,75,1006,174,4000,4000,998,1050,268,225,,44,19.6,49
Tougaloo College,MS,2,3280,578,311,18,49,1120,33,5010,5010,,,500,500,800,53,14.5,53
University of Mississippi,MS,1,3844,3383,1669,26,47,7524,804,1996,4916,1560,2250,548,600,550,81,20.3,53
University of Southern Mississippi,MS,1,2850,2044,1046,20,50,9260,1387,2392,4652,1120,1350,,500,500,78,18.7,45
William Carey College,MS,2,200,165,121,,,1538,419,5115,5115,1470,1050,100,300,700,36,13.6,19
Carroll College,MT,2,529,492,261,29,55,1093,322,8650,8650,3815,,290,390,1050,49,14.1,58
College of Great Falls,MT,2,394,394,268,,,700,537,5100,5100,990,890,140,400,,50,11.8,
Montana State University-Billings,MT,1,931,912,596,7,23,2482,868,2142,5866,1900,1400,60,600,2000,70,18.5,40
Montana College of Mineral Sci. & Tech.       MT,MT,1,572,544,320,45,72,1470,416,2013,6073,1260,2140,,550,1400,71,16.4,74
Montana State University,MT,1,3500,2836,1779,15,42,8730,993,1576,5552,3710,,648,550,2300,75,17.6,37
"Montana State University, Northern",MT,1,840,840,611,8,12,1169,403,3542,5879,,,,550,1200,20,10.6,
Rocky Mountain College,MT,2,560,392,270,11,31,743,118,8734,8734,1966,1396,85,600,625,56,11.3,68
University of Montana,MT,1,3314,2809,1563,,,7754,1388,2251,6311,,,,550,,75,21.7,30
Western Montana College,MT,1,376,256,256,,,816,1070,1935,5658,,3000,,475,,50,16.4,59
North Carolina A. & T. State University,NC,1,4809,3089,1429,12,33,6162,871,740,6806,,1780,627,600,1651,72,16.7,44
Appalachian State University,NC,1,7313,4664,1910,20,63,9940,1035,740,6806,1420,1120,718,96,2000,83,18.3,70
University of North Carolina at Asheville,NC,1,1757,979,394,32,74,2033,1078,608,5972,1670,1750,800,600,750,77,13,37
Barton College,NC,2,771,643,229,14,37,1135,505,7420,7420,1720,1720,330,500,,55,13.7,67
Barber Scotia College,NC,2,933,933,480,6,16,704,,4045,4045,1329,1466,295,736,2100,50,13.5,34
Belmont Abbey College,NC,2,632,494,129,17,36,709,131,9000,9000,4850,,920,300,2480,78,13.2,52
Bennett College,NC,2,774,542,193,17,38,650,14,5600,5600,1630,1465,1030,750,2000,63,12.1,44
Campbell University,NC,2,2087,1339,657,20,54,3191,1204,7550,7550,2790,,128,600,500,77,21.8,63
Catawba College,NC,2,1083,880,291,13,34,915,80,9270,9270,,,,600,1860,75,13.5,55
Davidson College,NC,2,2373,956,452,77,96,1601,6,17295,17295,2650,2420,169,600,1011,95,12,94
Duke University,NC,2,13789,3893,1583,90,98,6188,53,18590,18590,2996,2954,480,625,1162,95,5,97
East Carolina University,NC,1,9274,6362,2435,14,44,13171,1687,764,7248,1590,1650,793,500,1700,74,13.2,58
Elizabeth City State University,NC,1,1531,827,405,12,46,1630,143,556,5030,1220,1428,584,170,,68,14.1,51
Elon College,NC,2,3624,2786,858,11,39,2933,334,9100,9100,1782,2101,150,490,1777,70,18.9,63
Fayetteville State University,NC,1,1455,1064,452,1,16,2632,617,740,6806,1150,1400,636,350,766,75,15.1,24
Gardner Webb University,NC,2,1110,930,332,18,36,1603,374,8180,8180,2230,2040,950,500,500,65,15.2,29
Greensboro College,NC,2,608,494,176,10,31,649,314,8330,8330,,,200,550,1300,64,13,39
Guilford College,NC,2,1202,1054,326,18,44,1410,299,13404,13404,2456,2704,210,450,1050,78,15.6,65
High Point University,NC,2,1412,1149,347,11,25,2045,359,7550,7550,2440,1610,750,600,,55,17.8,62
Johnson C. Smith University,NC,2,1349,932,407,6,14,1236,47,5453,5453,1135,1056,685,500,,61,14.2,37
Lees-McRae College,NC,2,545,529,216,4,20,620,37,3807,,702,858,458,200,625,50,13.2,
Lenoir-Rhyne College,NC,2,979,743,259,25,46,1188,166,10100,10100,1740,2260,510,400,1000,88,12,66
Livingstone College,NC,2,900,473,217,22,47,621,11,4400,4400,2000,1400,800,800,900,53,10.4,92
Mars Hill College,NC,2,1056,873,385,15,38,1111,244,6950,6950,1900,1650,600,600,,60,11.9,69
Meredith College,NC,2,857,772,376,25,58,1721,470,6720,6720,,,,450,1520,77,13.9,82
Methodist College,NC,2,750,633,296,27,51,926,367,8850,8850,2100,1450,158,500,2600,73,11.4,56
Montreat-Anderson College,NC,2,263,223,103,10,24,316,20,8438,8438,1446,1926,,500,2958,42,11.1,15
North Carolina Central University,NC,1,1773,1320,559,8,26,3531,808,676,5730,1568,1568,493,,,66,15.4,40
North Carolina Wesleyan College,NC,2,812,689,195,7,24,646,84,8242,8242,1900,2330,500,600,1295,77,12.7,52
Pembroke State University,NC,1,944,774,440,14,34,2174,529,628,6360,1410,1350,514,550,1498,77,15,48
Pfeiffer College,NC,2,838,651,159,11,25,654,162,8640,8640,,,,400,1915,62,12.2,48
Queens College,NC,2,516,392,154,32,62,630,549,11020,11020,2160,2810,50,610,1900,73,14,58
Salem College,NC,2,335,284,132,28,69,534,216,10475,10475,3275,3025,176,500,2000,68,11.2,60
Shaw University,NC,2,2533,937,620,,,2360,144,9192,9192,649,1089,100,250,500,71,14.4,69
St. Andrews Presbyterian College,NC,2,624,599,170,,,612,150,10375,10375,1825,2750,,500,1050,79,13.8,56
St. Augustine's College,NC,2,3113,1786,457,24,49,1614,131,3850,3850,1924,1276,,,,43,14,56
North Carolina State University at Raleigh,NC,1,10634,7064,3176,39,78,16505,5481,874,8400,1640,1900,710,600,1300,92,17.5,62
University of North Carolina at Chapel Hill,NC,1,14596,5985,3331,75,92,14609,1100,874,8400,2040,2160,606,550,1200,88,8.9,83
University of North Carolina at Charlotte,NC,1,5803,4441,1730,19,62,10099,3255,764,7248,,,693,600,1900,79,16.8,62
University of North Carolina at Greensboro,NC,1,5191,4134,1500,15,44,7532,1847,931,8677,1715,1790,958,600,1300,75,15.5,53
Wake Forest University,NC,2,5661,2392,903,75,88,3499,172,13850,13850,4360,,,500,1250,95,4.3,89
Warren Wilson College,NC,2,440,311,112,25,49,466,7,10000,10000,,,515,400,1100,65,11.4,63
Western Carolina University,NC,1,3224,2519,1057,11,31,5000,706,718,6390,1142,1238,647,110,1622,67,14.6,55
University of North Carolina at Wilmington,NC,1,6071,3856,1449,15,67,6635,1145,1492,7558,2100,1580,752,500,1500,82,19.1,55
Wingate College,NC,2,1239,1017,383,10,34,1207,157,7820,7820,1750,1650,300,550,1550,69,13.9,91
Winston-Salem State University,NC,2,1065,801,385,,,2069,748,1254,6272,1342,1420,,300,,67,13.5,46
Dickinson State University,ND,1,434,412,319,10,30,1376,237,1681,4486,846,1300,176,600,2000,50,16.5,46
Jamestown College,ND,2,472,410,262,14,41,9950,71,7620,7620,1700,1350,,400,400,51,17,54
University of Mary,ND,2,659,601,342,12,34,1476,282,6490,6490,1345,1510,75,500,1800,26,18,48
Mayville State University,ND,1,233,233,153,5,12,658,58,1680,4486,2516,,240,600,1900,68,15.7,51
Minot State University,ND,1,681,681,681,,,3299,602,1711,4260,724,1188,,600,1893,44,20.1,
University of North Dakota,ND,1,2777,2249,1652,20,54,8334,1435,2110,5634,1033,1670,318,450,1200,97,15.9,49
Valley City State University,ND,1,368,344,212,5,27,863,189,1606,4286,1820,750,245,600,2000,39,14.9,40
North Dakota State University,ND,1,2968,2297,1610,13,47,7368,1128,2310,5834,1020,1724,198,600,2000,79,17,42
Chadron State College,NE,1,1024,1024,547,5,17,1830,490,1575,2670,1484,1184,210,500,,62,25,80
College of Saint Mary,NE,2,305,230,107,16,40,503,801,9000,9000,3500,,380,400,,23,8.9,47
Concordia College,NE,2,440,434,252,22,50,764,38,7896,7896,,,610,450,1200,54,11.1,80
Creighton University,NE,2,2967,2836,876,30,60,3450,644,10628,10628,2416,1956,336,650,2055,85,6.5,85
Dana College,NE,2,504,482,185,10,36,550,84,9130,9130,1950,1372,465,450,1450,46,12.6,54
Doane College,NE,2,793,709,244,20,47,1022,411,9570,9570,1020,1980,250,400,1000,67,15.1,60
Hastings College,NE,2,817,708,262,22,52,935,37,9376,9376,1338,1934,396,500,1902,57,13,52
University of Nebraska at Kearney,NE,1,2837,2697,1417,,,5764,1176,1665,2550,1280,1350,243,450,1970,59,19,55
Midland Lutheran College,NE,2,627,585,260,20,46,908,109,10300,10300,1210,1760,,,,42,14.5,56
University of Nebraska at Omaha,NE,1,2704,2537,1766,,,6518,5560,1687,4560,,,117,600,,77,19.7,19
Nebraska Wesleyan University,NE,2,969,762,382,23,64,1442,263,9540,9540,,,309,500,1800,82,13.5,
Peru State College,NE,1,701,501,458,10,40,959,457,1432,2580,1354,1270,254,500,900,48,20.1,44
Union College,NE,2,355,304,168,,,447,111,8760,8760,1540,1150,,550,1800,48,8.5,48
University of Nebraska at Lincoln,NE,1,6277,6003,3526,33,63,16454,3171,2055,5595,1375,1770,360,500,2070,86,15.1,53
Wayne State College,NE,1,1373,1373,724,6,21,2754,474,1500,2700,1230,1430,264,540,1660,60,20.3,52
Bellevue University,NE,2,132,132,112,,50,1032,943,3150,3150,,,130,500,2700,66,17.6,
Colby-Sawyer College,NH,2,910,776,208,,,618,40,14090,14090,2980,2415,,400,1000,,12.9,72
Dartmouth College,NH,2,8587,2273,1087,87,99,3918,32,19545,19545,3255,2815,105,550,1100,95,4.7,98
Franklin Pierce College,NH,2,5187,4471,446,3,14,1818,1197,13320,13320,2500,2130,310,500,800,50,17.6,51
New England College,NH,2,951,879,199,5,15,744,196,13325,13325,2770,2565,,,,42,9.5,59
New Hampshire College,NH,2,1498,1275,292,,17,1557,2973,10608,10608,2760,1980,408,400,900,34,38.4,76
Notre Dame College,NH,2,379,324,107,15,37,500,311,9990,9990,2650,2250,280,400,600,44,12.1,33
Rivier College,NH,2,484,386,141,6,28,590,1196,9870,9870,4860,,220,600,1100,59,12.2,81
Saint Anselm College,NH,2,2095,1553,514,15,40,1873,94,12950,12950,5400,,300,450,1120,70,14.5,97
University of New Hampshire,NH,1,9750,7640,2529,24,62,10358,1338,3550,11180,1648,2214,830,650,2450,89,17.5,75
Keene State College,NH,1,3121,2446,822,5,19,3480,776,2590,7870,2727,1438,756,500,1150,73,16.1,61
Plymouth State College,NH,1,3321,2375,748,10,25,3483,374,2590,7870,2689,1344,792,550,1100,82,18.8,
Daniel Webster College,NH,2,585,508,153,12,30,460,536,12292,12292,2370,2564,120,500,500,61,22.2,72
Thomas More Coll. of Liberal Arts,NH,2,35,35,22,,,59,,7200,7200,,,,600,1300,80,11.8,60
Bloomfield College,NJ,2,1694,1408,268,,,1312,685,8300,8300,,,150,500,2370,53,14.4,38
Caldwell College,NJ,2,1011,604,213,17,42,693,868,8900,8900,,,105,425,1000,87,13.9,55
Centenary College,NJ,2,369,312,90,12,46,396,526,11400,11400,5400,,340,500,760,41,9.5,24
College of Saint Elizabeth,NJ,2,444,359,122,34,53,493,968,10900,10900,,,500,380,1000,68,11.4,78
Drew University,NJ,2,2153,1580,321,56,84,1192,87,18432,18432,3224,2342,510,520,660,93,10.2,83
Georgian Court College,NJ,2,348,281,127,12,52,1095,785,9150,9150,1750,2200,130,500,800,56,12.2,76
Rowan College of New Jersey,NJ,1,3820,1431,695,21,70,5303,3942,2342,4356,,,753,800,800,76,22.1,51
Felician College,NJ,2,420,280,155,6,33,505,640,8100,8100,,,220,500,,66,11.2,
Jersey City State College,NJ,1,2957,1423,691,10,30,3817,1394,2798,3946,2000,2800,646,400,1500,63,14.9,26
Monmouth College,NJ,2,2707,1881,478,14,34,1893,847,12480,12480,2700,2590,490,530,1740,70,14.2,54
Montclair State University,NJ,1,5220,2128,865,19,53,6411,3186,2400,3648,3160,1674,600,700,950,82,21.5,58
New Jersey Institute of Technology,NJ,1,1879,1216,483,27,62,3311,1646,4188,8832,3764,1612,792,700,1850,92,13.5,72
Kean College of New Jersey,NJ,1,3344,2322,1105,6,43,6804,3933,1965,2875,2640,1200,590,600,,76,17.2,40
William Paterson College of New Jersey,NJ,1,5485,2662,1108,9,38,5938,2298,2385,3135,2600,1570,25,300,,77,23.5,38
Princeton University,NJ,2,13218,2042,1153,90,98,4540,146,19900,19900,2696,3214,400,675,1575,91,8.4,99
Rider University,NJ,2,3586,2424,730,16,31,2748,1309,13250,13250,,,215,700,3100,84,12.3,70
Rutgers State University at Newark,NJ,1,5785,2690,499,26,62,4005,1886,3640,7410,2780,1968,978,690,2009,90,17.4,58
Seton Hall University,NJ,2,4576,3565,1000,16,36,4384,1530,12000,12000,4358,2126,550,650,1000,81,14.4,64
Saint Peter's College,NJ,2,1606,1413,530,23,38,1921,1154,9408,9408,2820,2700,295,500,450,78,12.1,53
Stevens Institute of Technology,NJ,2,1768,1249,380,51,93,1263,11,16900,16900,5680,,635,450,750,89,19,79
Trenton State College,NJ,1,5042,2312,944,55,94,5167,902,3116,5391,,,896,700,1000,81,14.4,81
Upsala College,NJ,2,1540,1363,446,,,950,214,12500,12500,,,200,700,500,72,14,43
Rutgers State University at Camden,NJ,1,3366,1752,232,27,79,2585,1300,3641,7411,2780,1968,849,690,2009,90,18.6,57
Rutgers at New Brunswick,NJ,1,48094,26330,4520,36,79,21401,3712,3640,7410,2780,1986,1003,690,2009,90,19.5,77
Fairleigh Dickinson University,NJ,2,3148,1616,504,9,24,3553,3152,11010,11010,2994,2406,611,623,,77,16.7,60
Ramapo College of New Jersey,NJ,1,2088,957,362,6,29,2745,1938,3227,4449,3400,1460,,600,1655,74,17.8,47
Stockton College of New Jersey,NJ,1,4019,1579,710,23,65,4365,765,2288,3040,2775,1576,704,711,1125,78,19.5,64
Saint John's College,NM,2,285,246,126,20,45,411,,17430,17430,2790,2930,200,275,950,73,9.8,61
College of Santa Fe,NM,2,546,447,189,16,42,873,683,11138,11138,1978,2160,330,600,1200,40,14,80
College of the Southwest,NM,2,77,61,27,7,38,352,147,3120,3120,1358,2024,125,400,500,24,14.3,20
Eastern New Mexico University,NM,1,1256,1220,590,,,2762,587,1518,5586,,,,500,1200,73,19.6,34
New Mexico Highlands University,NM,1,777,649,406,5,20,1630,384,1392,5148,1430,950,20,400,,72,17.4,28
New Mexico Institute of Mining and Tech. ,NM,1,787,601,233,40,73,1017,411,1302,5376,3214,,556,600,1100,99,13.7,34
New Mexico State University,NM,1,4119,3200,1663,,,9673,3481,1980,6432,1588,1580,,550,1066,76,19.6,40
Western New Mexico University,NM,1,1054,1054,470,5,25,1495,521,1394,4652,1340,920,,500,,55,15.5,47
Univ. of New Mexico-Main Campus,NM,1,3871,3349,1891,27,53,12257,5264,1884,7115,,,420,584,500,91,14.3,34
